locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFT_00864	CDS	231	acpP		COG0236	Acyl carrier protein
LFT_00865	CDS	1209	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LFT_00866	CDS	756	rnc_2	3.1.26.3	COG0571	Ribonuclease 3
LFT_00867	CDS	1149				hypothetical protein
LFT_00868	CDS	1065				hypothetical protein
LFT_00869	CDS	216				hypothetical protein
LFT_00870	CDS	840	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
LFT_00871	CDS	624	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
LFT_00872	tRNA	76				tRNA-Ala(cgc)
LFT_00873	CDS	1020		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
LFT_00874	CDS	1407	zwf1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 1
LFT_00875	CDS	744		1.-.-.-	COG4221	putative oxidoreductase
LFT_00876	CDS	1035	tam_2	2.1.1.144		Trans-aconitate 2-methyltransferase
LFT_00877	CDS	1734				hypothetical protein
LFT_00878	CDS	1347	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
LFT_00879	CDS	624				hypothetical protein
LFT_00880	CDS	969	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
LFT_00881	CDS	564				hypothetical protein
LFT_00882	CDS	1839	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
LFT_00883	CDS	1137	der		COG1160	GTPase Der
LFT_00884	CDS	693				hypothetical protein
LFT_00885	CDS	183				hypothetical protein
LFT_00886	CDS	1434				hypothetical protein
LFT_00887	CDS	1359	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
LFT_00888	CDS	1956				hypothetical protein
LFT_00889	CDS	1563				hypothetical protein
LFT_00890	CDS	528				hypothetical protein
LFT_00891	CDS	297				hypothetical protein
LFT_00892	CDS	999				hypothetical protein
LFT_00893	CDS	1431	yhdG		COG0531	putative amino acid permease YhdG
LFT_00894	CDS	531				hypothetical protein
LFT_00895	CDS	495				hypothetical protein
LFT_00896	CDS	792	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
LFT_00897	CDS	2022	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
LFT_00898	CDS	813				hypothetical protein
LFT_00899	CDS	1032				hypothetical protein
LFT_00900	CDS	663	tmk_3	2.7.4.9	COG0125	Thymidylate kinase
LFT_00901	CDS	189				hypothetical protein
LFT_00902	CDS	468	perR		COG0735	Peroxide-responsive repressor PerR
LFT_00903	CDS	1017	ccpA	1.11.1.5	COG1858	Cytochrome c551 peroxidase
LFT_00904	CDS	603	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
LFT_00905	CDS	561	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
LFT_00906	CDS	1170	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
LFT_00907	CDS	651	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
LFT_00908	CDS	606	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
LFT_00909	CDS	480				hypothetical protein
LFT_00910	CDS	453	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
LFT_00911	CDS	231				hypothetical protein
LFT_00912	CDS	840	SIRT5	2.3.1.286		NAD-dependent protein deacylase sirtuin-5, mitochondrial
LFT_00913	CDS	279				hypothetical protein
LFT_00914	CDS	354				hypothetical protein
LFT_00915	CDS	441	cadI		COG0346	Cadmium-induced protein CadI
LFT_00916	CDS	858				hypothetical protein
LFT_00917	CDS	669				hypothetical protein
LFT_00918	CDS	951	glmU_1	2.7.7.23		Bifunctional protein GlmU
LFT_00919	CDS	504	glmU_2		COG1207	Bifunctional protein GlmU
LFT_00920	CDS	1104	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LFT_00921	CDS	744	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LFT_00922	CDS	1320	tolB_1			Tol-Pal system protein TolB
LFT_00923	CDS	2241	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
LFT_00924	CDS	447	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
LFT_00925	CDS	366	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
LFT_00926	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LFT_00927	CDS	1473	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LFT_00928	CDS	684				hypothetical protein
LFT_00929	CDS	501				hypothetical protein
LFT_00930	CDS	1284	eno	4.2.1.11	COG0148	Enolase
LFT_00931	CDS	342				hypothetical protein
LFT_00932	CDS	441				hypothetical protein
LFT_00933	CDS	558				hypothetical protein
LFT_00934	CDS	1392	norR_4			Anaerobic nitric oxide reductase transcription regulator NorR
LFT_00935	CDS	513				hypothetical protein
LFT_00936	CDS	324				hypothetical protein
LFT_00937	CDS	840				hypothetical protein
LFT_00938	CDS	741				hypothetical protein
LFT_00939	CDS	381				hypothetical protein
LFT_00940	CDS	1275				hypothetical protein
LFT_00941	CDS	1566	pal_3			Peptidoglycan-associated lipoprotein
LFT_00942	CDS	879				hypothetical protein
LFT_00943	CDS	1017	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
LFT_00944	CDS	444	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
LFT_00945	CDS	1374	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
LFT_00946	CDS	1593				hypothetical protein
LFT_00947	CDS	1296				hypothetical protein
LFT_00948	CDS	624				hypothetical protein
LFT_00949	CDS	1884	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
LFT_00950	tRNA	76				tRNA-Lys(ctt)
LFT_00951	CDS	102				hypothetical protein
LFT_00952	CDS	861				hypothetical protein
LFT_00953	CDS	834				hypothetical protein
LFT_00954	CDS	1230				hypothetical protein
LFT_00955	CDS	468	mdtA_3			Multidrug resistance protein MdtA
LFT_00956	CDS	699	mexA			Multidrug resistance protein MexA
LFT_00957	CDS	3129	bepE			Efflux pump membrane transporter BepE
LFT_00958	CDS	1503	oprM		COG1538	Outer membrane protein OprM
LFT_00959	CDS	546				hypothetical protein
LFT_00960	CDS	1005	adh	1.1.1.1		Alcohol dehydrogenase
LFT_00961	CDS	2739	recC	3.1.11.5		RecBCD enzyme subunit RecC
LFT_00962	CDS	3306	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
LFT_00963	CDS	1728	recD_1	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
LFT_00964	CDS	1095				hypothetical protein
LFT_00965	CDS	1098				hypothetical protein
LFT_00966	CDS	435				hypothetical protein
LFT_00967	CDS	651				hypothetical protein
LFT_00968	CDS	420	tolR_1			Tol-Pal system protein TolR
LFT_00969	CDS	705	tolQ_1			Tol-Pal system protein TolQ
LFT_00970	CDS	2808	btuB			Vitamin B12 transporter BtuB
LFT_00971	CDS	717				hypothetical protein
LFT_00972	CDS	1032	xerC_3			Tyrosine recombinase XerC
LFT_00973	CDS	222				hypothetical protein
LFT_00974	CDS	303				hypothetical protein
LFT_00975	CDS	129				hypothetical protein
LFT_00976	CDS	336				hypothetical protein
LFT_00977	CDS	294				hypothetical protein
LFT_00978	CDS	123				hypothetical protein
LFT_00979	CDS	435				hypothetical protein
LFT_00980	CDS	2319	silP	7.2.2.15		Silver exporting P-type ATPase
LFT_00981	CDS	306				hypothetical protein
LFT_00982	CDS	285				hypothetical protein
LFT_00983	CDS	390				hypothetical protein
LFT_00984	CDS	462				hypothetical protein
LFT_00985	CDS	606				hypothetical protein
LFT_00986	CDS	357				hypothetical protein
LFT_00987	CDS	1008	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
LFT_00988	CDS	306	ziaR			Transcriptional repressor SmtB 
LFT_00989	CDS	384				hypothetical protein
LFT_00990	CDS	228				hypothetical protein
LFT_00991	CDS	1236	czcC			Cobalt-zinc-cadmium resistance protein CzcC
LFT_00992	CDS	984	mdtA_4			Multidrug resistance protein MdtA
LFT_00993	CDS	3267	czcA_4			Cobalt-zinc-cadmium resistance protein CzcA
LFT_00994	CDS	1017				hypothetical protein
LFT_00995	CDS	180				hypothetical protein
LFT_00996	CDS	3456	recD_2	3.1.11.5		RecBCD enzyme subunit RecD
LFT_00997	CDS	234				hypothetical protein
LFT_00998	CDS	798	traD			Coupling protein TraD
LFT_00999	CDS	177				hypothetical protein
LFT_01000	CDS	246				hypothetical protein
LFT_01001	CDS	444				hypothetical protein
LFT_01002	CDS	777				hypothetical protein
LFT_01003	CDS	228				hypothetical protein
LFT_01004	CDS	300				hypothetical protein
LFT_01005	CDS	333				hypothetical protein
LFT_01006	CDS	981				IS1595 family transposase ISLsp6
LFT_01007	CDS	804				hypothetical protein
LFT_01008	CDS	1368				hypothetical protein
LFT_01009	CDS	324				hypothetical protein
LFT_01010	CDS	360				hypothetical protein
LFT_01011	CDS	315				hypothetical protein
LFT_01012	CDS	438				hypothetical protein
LFT_01013	tRNA	75				tRNA-Gly(gcc)
LFT_01014	CDS	615				hypothetical protein
LFT_01015	CDS	906				hypothetical protein
LFT_01016	CDS	1266				hypothetical protein
LFT_01017	CDS	1584	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
LFT_01018	CDS	831				hypothetical protein
LFT_01019	CDS	900	aaeA		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
LFT_01020	CDS	207				hypothetical protein
LFT_01021	CDS	2049	aaeB			p-hydroxybenzoic acid efflux pump subunit AaeB
LFT_01022	CDS	723				hypothetical protein
LFT_01023	CDS	1161				hypothetical protein
LFT_01024	CDS	645				hypothetical protein
LFT_01025	CDS	1695	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
LFT_01026	CDS	660				hypothetical protein
LFT_01027	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
LFT_01028	CDS	1173				hypothetical protein
LFT_01029	tRNA	76				tRNA-Asn(gtt)
LFT_01030	CDS	708				hypothetical protein
LFT_01031	CDS	882	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
LFT_01032	CDS	852	folP	2.5.1.15	COG0294	Dihydropteroate synthase
LFT_01033	CDS	1800	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
LFT_01034	CDS	531	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
LFT_01035	CDS	1545	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
LFT_01036	CDS	960	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
LFT_01037	CDS	981	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
LFT_01038	CDS	1542	cysG_2	4.99.1.4		Siroheme synthase
LFT_01039	CDS	945	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LFT_01040	CDS	1359	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
LFT_01041	CDS	810	ccsA_2			Cytochrome c biogenesis protein CcsA
LFT_01042	CDS	1560				hypothetical protein
LFT_01043	CDS	1152	kamA	5.4.3.2		L-lysine 2,3-aminomutase
LFT_01044	CDS	750	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
LFT_01045	CDS	1101	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
LFT_01046	CDS	1728	mpa		COG0464	Proteasome-associated ATPase
LFT_01047	CDS	1536	dop_2	3.4.-.-		Depupylase
LFT_01048	CDS	195	ubact			Prokaryotic ubiquitin-like protein UBact
LFT_01049	CDS	798	prcB_2	3.4.25.1	COG0638	Proteasome subunit beta
LFT_01050	CDS	756	prcA_2			Proteasome subunit alpha
LFT_01051	CDS	1437	dop_3	3.4.-.-		Pup deamidase/depupylase
LFT_01052	CDS	1107	pyrD	1.3.-.-		Dihydroorotate dehydrogenase
LFT_01053	CDS	996	thrB	2.7.1.39		Homoserine kinase
LFT_01054	CDS	339				Ferredoxin, 2Fe-2S
LFT_01055	CDS	720				hypothetical protein
LFT_01056	CDS	132				hypothetical protein
LFT_01057	CDS	234				hypothetical protein
LFT_01058	CDS	201				hypothetical protein
LFT_01059	CDS	531				hypothetical protein
LFT_01060	CDS	333				hypothetical protein
LFT_01061	CDS	207				hypothetical protein
LFT_01062	CDS	432				hypothetical protein
LFT_01063	CDS	207				hypothetical protein
LFT_01064	CDS	468				hypothetical protein
LFT_01065	CDS	558				hypothetical protein
LFT_01066	CDS	1089	egtB	1.14.99.50		Hercynine oxygenase
LFT_01067	CDS	567				hypothetical protein
LFT_01068	CDS	270				hypothetical protein
LFT_01069	CDS	1329				hypothetical protein
LFT_01070	CDS	468				hypothetical protein
LFT_01071	CDS	327				hypothetical protein
LFT_01072	CDS	636				hypothetical protein
LFT_01073	CDS	597	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
LFT_01074	CDS	1422	norR_5			Anaerobic nitric oxide reductase transcription regulator NorR
LFT_01075	CDS	1506	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
LFT_01076	CDS	597	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
LFT_01077	CDS	1053	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
LFT_01078	CDS	825	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
LFT_01079	CDS	639	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
LFT_01080	CDS	1239	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
LFT_01081	CDS	795	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
LFT_01082	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
LFT_01083	CDS	1335	fpgS	6.3.2.17		Folylpolyglutamate synthase
LFT_01084	CDS	2241	lptD			LPS-assembly protein LptD
LFT_01085	CDS	801				hypothetical protein
LFT_01086	CDS	918	nadK	2.7.1.23	COG0061	NAD kinase
LFT_01087	CDS	1842		1.18.1.2		Ferredoxin--NADP reductase
LFT_01088	CDS	621	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
LFT_01089	CDS	762	petB_1			Cytochrome b6
LFT_01090	CDS	336				hypothetical protein
LFT_01091	CDS	540				hypothetical protein
LFT_01092	CDS	219				hypothetical protein
LFT_01093	CDS	966				hypothetical protein
LFT_01094	CDS	984	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
LFT_01095	CDS	822				hypothetical protein
LFT_01096	CDS	495				hypothetical protein
LFT_01097	CDS	996	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
LFT_01098	CDS	360				hypothetical protein
LFT_01099	CDS	837		2.7.1.165	COG2379	D-glycerate 2-kinase
LFT_01100	CDS	429				hypothetical protein
LFT_01101	CDS	264				hypothetical protein
LFT_01102	CDS	1089				hypothetical protein
LFT_01103	CDS	369				hypothetical protein
LFT_01104	CDS	663				hypothetical protein
LFT_01105	CDS	405				hypothetical protein
LFT_01106	CDS	507				hypothetical protein
LFT_01107	CDS	291				hypothetical protein
LFT_01108	CDS	933				hypothetical protein
LFT_01109	CDS	459				hypothetical protein
LFT_01110	CDS	522				hypothetical protein
LFT_01111	CDS	573		2.7.7.53	COG0537	AP-4-A phosphorylase
LFT_01112	CDS	696				hypothetical protein
LFT_01113	CDS	600	pyrR		COG2065	Bifunctional protein PyrR
LFT_01114	CDS	927	pyrB	2.1.3.2		Aspartate carbamoyltransferase
LFT_01115	CDS	1317	pyrC	3.5.2.3	COG0044	Dihydroorotase
LFT_01116	CDS	1098	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
LFT_01117	CDS	999				hypothetical protein
LFT_01118	CDS	3243	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
LFT_01119	CDS	483	greA		COG0782	Transcription elongation factor GreA
LFT_01120	CDS	177				hypothetical protein
LFT_01121	CDS	198				hypothetical protein
LFT_01122	CDS	324	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
LFT_01123	CDS	636				hypothetical protein
LFT_01124	CDS	900				hypothetical protein
LFT_01125	CDS	1386	merA_1	1.16.1.1		Mercuric reductase
LFT_01126	CDS	3474				hypothetical protein
LFT_01127	CDS	1413	glnA	6.3.1.2		Glutamine synthetase
LFT_01128	CDS	1755	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
LFT_01129	CDS	1878				hypothetical protein
LFT_01130	CDS	1551	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
LFT_01131	CDS	1470	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
LFT_01132	CDS	522				hypothetical protein
LFT_01133	CDS	903				hypothetical protein
LFT_01134	CDS	657	lon_2	3.4.21.53		Lon protease
LFT_01135	CDS	402				hypothetical protein
LFT_01136	CDS	480				hypothetical protein
LFT_01137	CDS	1812	lig	6.5.1.1		DNA ligase
LFT_01138	CDS	468				hypothetical protein
LFT_01139	CDS	540				hypothetical protein
LFT_01140	CDS	1575	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
LFT_01141	CDS	1113	prfB			Peptide chain release factor 2
LFT_01142	CDS	444				hypothetical protein
LFT_01143	CDS	2442	lon1	3.4.21.53	COG0466	Lon protease 1
LFT_01144	CDS	726	pdg			Ultraviolet N-glycosylase/AP lyase
LFT_01145	CDS	210				hypothetical protein
LFT_01146	CDS	903	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
LFT_01147	CDS	108				hypothetical protein
LFT_01148	CDS	1065	rhaS			HTH-type transcriptional activator RhaS
LFT_01149	CDS	2055				hypothetical protein
LFT_01150	CDS	1308	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
LFT_01151	CDS	1719				hypothetical protein
LFT_01152	CDS	264				hypothetical protein
LFT_01153	CDS	1830	lepA	3.6.5.-		Elongation factor 4
LFT_01154	CDS	672	spsB	3.4.21.89		Signal peptidase IB
LFT_01155	CDS	1059	hldE		COG2870	Bifunctional protein HldE
LFT_01156	CDS	834	kdsB	2.7.7.90	COG1212	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
LFT_01157	CDS	1638	pyrG	6.3.4.2		CTP synthase
LFT_01158	CDS	870	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
LFT_01159	CDS	999	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
LFT_01160	CDS	549		3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
LFT_01161	CDS	570	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LFT_01162	CDS	621	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
LFT_01163	CDS	171				hypothetical protein
LFT_01164	CDS	951				hypothetical protein
LFT_01165	CDS	1521	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LFT_01166	CDS	531				hypothetical protein
LFT_01167	CDS	1377	glnG		COG2204	DNA-binding transcriptional regulator NtrC
LFT_01168	CDS	771				hypothetical protein
LFT_01169	CDS	1080				hypothetical protein
LFT_01170	CDS	984				hypothetical protein
LFT_01171	CDS	294				hypothetical protein
LFT_01172	CDS	636				hypothetical protein
LFT_01173	CDS	1140	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
LFT_01174	CDS	318				hypothetical protein
LFT_01175	CDS	756				hypothetical protein
LFT_01176	CDS	1167				hypothetical protein
LFT_01177	CDS	1440	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
LFT_01178	CDS	222	tatA			Sec-independent protein translocase protein TatA
LFT_01179	CDS	432				hypothetical protein
LFT_01180	CDS	1320	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
LFT_01181	CDS	363	yijE_1			putative cystine transporter YijE
LFT_01182	CDS	267	yijE_2			putative cystine transporter YijE
LFT_01183	CDS	1065	namA	1.6.99.1	COG1902	NADPH dehydrogenase
LFT_01184	CDS	1542	emrY			putative multidrug resistance protein EmrY
LFT_01185	CDS	225				hypothetical protein
LFT_01186	misc_RNA	71				Fluoride
LFT_01187	CDS	1197				hypothetical protein
LFT_01188	CDS	405				hypothetical protein
LFT_01189	CDS	648				hypothetical protein
LFT_01190	CDS	657				hypothetical protein
LFT_01191	CDS	1281				hypothetical protein
LFT_01192	CDS	183				hypothetical protein
LFT_01193	CDS	552				hypothetical protein
LFT_01194	CDS	447				hypothetical protein
LFT_01195	CDS	1038				hypothetical protein
LFT_01196	CDS	1482				hypothetical protein
LFT_01197	CDS	1398				hypothetical protein
LFT_01198	CDS	759			COG0330	putative protein
LFT_01199	CDS	441				hypothetical protein
LFT_01200	CDS	528				hypothetical protein
LFT_01201	CDS	927	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
LFT_01202	CDS	834	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
LFT_01203	CDS	564				hypothetical protein
LFT_01204	CDS	381				hypothetical protein
LFT_01205	CDS	306				hypothetical protein
LFT_01206	CDS	1470	atoC_5		COG2204	Regulatory protein AtoC
LFT_01207	CDS	2025	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
LFT_01208	CDS	2481				hypothetical protein
LFT_01209	CDS	1668	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LFT_01210	CDS	339				hypothetical protein
LFT_01211	CDS	1686	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
LFT_01212	CDS	2766	ilvD_2	4.2.1.9		Dihydroxy-acid dehydratase
LFT_01213	CDS	867				hypothetical protein
LFT_01214	CDS	2472				hypothetical protein
LFT_01215	CDS	1662	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LFT_01216	CDS	300				hypothetical protein
LFT_01217	CDS	318				hypothetical protein
LFT_01218	CDS	207				hypothetical protein
LFT_01219	CDS	111				hypothetical protein
LFT_01220	CDS	1089	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LFT_01221	CDS	1254				hypothetical protein
LFT_01222	CDS	1512				hypothetical protein
LFT_01223	CDS	795				hypothetical protein
LFT_01224	CDS	708	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
LFT_01225	CDS	1419				hypothetical protein
LFT_01226	CDS	1188				hypothetical protein
LFT_01227	CDS	1422				hypothetical protein
LFT_01228	CDS	1038				hypothetical protein
LFT_01229	CDS	444				IS256 family transposase ISOan7
LFT_01230	CDS	807				hypothetical protein
LFT_01231	CDS	1698				hypothetical protein
LFT_01232	CDS	837				hypothetical protein
LFT_01233	CDS	372				Insertion sequence IS5376 putative ATP-binding protein
LFT_01234	CDS	1398				hypothetical protein
LFT_01235	CDS	501				IS256 family transposase ISTdr1
LFT_01236	CDS	939				hypothetical protein
LFT_01237	CDS	786				IS3 family transposase ISVpa4
LFT_01238	CDS	291				hypothetical protein
LFT_01239	CDS	699				hypothetical protein
LFT_01240	CDS	183				hypothetical protein
LFT_01241	CDS	753				IS256 family transposase ISOan6
LFT_01242	CDS	354				IS256 family transposase ISTdr1
LFT_01243	CDS	1578				IS21 family transposase ISPpu7
LFT_01244	CDS	447				IS21 family transposase IS1491
LFT_01245	CDS	252				IS21 family transposase ISUnCu3
LFT_01246	CDS	132				hypothetical protein
LFT_01247	CDS	762				IS21 family transposase ISPa77
LFT_01248	CDS	984				IS21 family transposase ISPpu7
LFT_01249	CDS	240				hypothetical protein
LFT_01250	CDS	819				IS3 family transposase ISCysp23
LFT_01251	CDS	291				hypothetical protein
LFT_01252	CDS	1083				hypothetical protein
LFT_01253	CDS	939	strE	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
LFT_01254	CDS	744	hddC	2.7.7.71		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
LFT_01255	CDS	1176	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
LFT_01256	CDS	1047	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
LFT_01257	CDS	1029	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
LFT_01258	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
LFT_01259	CDS	999	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
LFT_01260	CDS	1488	bchE	1.21.98.3		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
LFT_01261	CDS	264				hypothetical protein
LFT_01262	CDS	1104				hypothetical protein
LFT_01263	CDS	363				hypothetical protein
LFT_01264	CDS	660				hypothetical protein
LFT_01265	CDS	552				hypothetical protein
LFT_01266	CDS	765				hypothetical protein
LFT_01267	CDS	675				hypothetical protein
LFT_01268	CDS	567				hypothetical protein
LFT_01269	CDS	1221				hypothetical protein
LFT_01270	CDS	423	fitB	3.1.-.-		Toxin FitB
LFT_01271	CDS	255	fitA			Antitoxin FitA
LFT_01272	CDS	498				hypothetical protein
LFT_01273	CDS	192				hypothetical protein
LFT_01274	CDS	402		3.1.-.-	COG3744	Ribonuclease VapC22
LFT_01275	CDS	246				hypothetical protein
LFT_01276	CDS	279				hypothetical protein
LFT_01277	CDS	447				hypothetical protein
LFT_01278	CDS	516				hypothetical protein
LFT_01279	CDS	306				hypothetical protein
LFT_01280	CDS	750				hypothetical protein
LFT_01281	CDS	1287				hypothetical protein
LFT_01282	CDS	510	ndhK_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
LFT_01283	CDS	1500	hycE		COG3261	Formate hydrogenlyase subunit 5
LFT_01284	CDS	1458	ndhB_4	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LFT_01285	CDS	663				hypothetical protein
LFT_01286	CDS	861	hycD		COG0650	Formate hydrogenlyase subunit 4
LFT_01287	CDS	105				hypothetical protein
LFT_01288	CDS	2061	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
LFT_01289	CDS	351				hypothetical protein
LFT_01290	CDS	882				hypothetical protein
LFT_01291	CDS	663	yceI			Protein YceI
LFT_01292	CDS	1452			COG2308	putative protein
LFT_01293	CDS	1044				hypothetical protein
LFT_01294	CDS	756				hypothetical protein
LFT_01295	CDS	636		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
LFT_01296	CDS	414				hypothetical protein
LFT_01297	CDS	612				hypothetical protein
LFT_01298	CDS	522	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
LFT_01299	CDS	1092				hypothetical protein
LFT_01300	CDS	495	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
LFT_01301	CDS	1470	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
LFT_01302	CDS	1074	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
LFT_01303	CDS	339				hypothetical protein
LFT_01304	CDS	1002				hypothetical protein
LFT_01305	CDS	135				hypothetical protein
LFT_01306	CDS	162				hypothetical protein
LFT_01307	CDS	945	bdlA		COG0840	Biofilm dispersion protein BdlA
LFT_01308	CDS	159				hypothetical protein
